name,slug, deaths/100,000 live births,date_of_information,ranking,region
"Nigeria","nigeria","993","2023",1,"Africa"
"Chad","chad","748","2023",2,"Africa"
"South Sudan","south-sudan","692","2023",3,"Africa"
"Central African Republic","central-african-republic","692","2023",4,"Africa"
"Liberia","liberia","628","2023",5,"Africa"
"Somalia","somalia","563","2023",6,"Africa"
"Afghanistan","afghanistan","521","2023",7,"South Asia"
"Benin","benin","518","2023",8,"Africa"
"Guinea-Bissau","guinea-bissau","505","2023",9,"Africa"
"Guinea","guinea","494","2023",10,"Africa"
"Lesotho","lesotho","478","2023",11,"Africa"
"Madagascar","madagascar","445","2023",12,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","427","2023",13,"Africa"
"Burundi","burundi","392","2023",14,"Africa"
"Mauritania","mauritania","381","2023",15,"Africa"
"Kenya","kenya","379","2023",16,"Africa"
"Mali","mali","367","2023",17,"Africa"
"Cote d'Ivoire","cote-divoire","359","2023",18,"Africa"
"Zimbabwe","zimbabwe","358","2023",19,"Africa"
"Gambia, The","gambia-the","354","2023",20,"Africa"
"Sierra Leone","sierra-leone","354","2023",21,"Africa"
"Niger","niger","350","2023",22,"Africa"
"Togo","togo","349","2023",23,"Africa"
"Haiti","haiti","328","2023",24,"Central America and the Caribbean"
"Eritrea","eritrea","291","2023",25,"Africa"
"Tanzania","tanzania","276","2023",26,"Africa"
"Nauru","nauru","273","2023",27,"Australia and Oceania"
"Cameroon","cameroon","258","2023",28,"Africa"
"Sudan","sudan","256","2023",29,"Africa"
"Burkina Faso","burkina-faso","242","2023",30,"Africa"
"Congo, Republic of the","congo-republic-of-the","241","2023",31,"Africa"
"Senegal","senegal","237","2023",32,"Africa"
"Ghana","ghana","234","2023",33,"Africa"
"Gabon","gabon","233","2023",34,"Africa"
"Rwanda","rwanda","229","2023",35,"Africa"
"Venezuela","venezuela","227","2023",36,"South America"
"Malawi","malawi","225","2023",37,"Africa"
"Ethiopia","ethiopia","195","2023",38,"Africa"
"Timor-Leste","timor-leste","192","2023",39,"East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","189","2023",40,"East and Southeast Asia"
"Burma","burma","185","2023",41,"East and Southeast Asia"
"Angola","angola","183","2023",42,"Africa"
"Comoros","comoros","179","2023",43,"Africa"
"Equatorial Guinea","equatorial-guinea","174","2023",44,"Africa"
"Uganda","uganda","170","2023",45,"Africa"
"Tuvalu","tuvalu","170","2023",46,"Australia and Oceania"
"Djibouti","djibouti","162","2023",47,"Africa"
"Pakistan","pakistan","155","2023",48,"South Asia"
"Marshall Islands","marshall-islands","155","2023",49,"Australia and Oceania"
"Botswana","botswana","155","2023",50,"Africa"
"Bolivia","bolivia","146","2023",51,"South America"
"Nepal","nepal","142","2023",52,"South Asia"
"Indonesia","indonesia","140","2023",53,"East and Southeast Asia"
"Namibia","namibia","139","2023",54,"Africa"
"Cambodia","cambodia","137","2023",55,"East and Southeast Asia"
"Jamaica","jamaica","130","2023",56,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","129","2023",57,"Australia and Oceania"
"Dominican Republic","dominican-republic","124","2023",58,"Central America and the Caribbean"
"Solomon Islands","solomon-islands","123","2023",59,"Australia and Oceania"
"South Africa","south-africa","118","2023",60,"Africa"
"Eswatini","eswatini","118","2023",61,"Africa"
"Yemen","yemen","118","2023",62,"Middle East"
"Bangladesh","bangladesh","115","2023",63,"South Asia"
"Laos","laos","112","2023",64,"East and Southeast Asia"
"Samoa","samoa","101","2023",65,"Australia and Oceania"
"Vanuatu","vanuatu","100","2023",66,"Australia and Oceania"
"Guatemala","guatemala","94","2023",67,"Central America and the Caribbean"
"Palau","palau","89","2023",68,"Australia and Oceania"
"Zambia","zambia","85","2023",69,"Africa"
"Philippines","philippines","84","2023",70,"East and Southeast Asia"
"Suriname","suriname","84","2023",71,"South America"
"Mozambique","mozambique","82","2023",72,"Africa"
"Kiribati","kiribati","80","2023",73,"Australia and Oceania"
"India","india","80","2023",74,"South Asia"
"Bahamas, The","bahamas-the","76","2023",75,"Central America and the Caribbean"
"Guyana","guyana","75","2023",76,"South America"
"Sao Tome and Principe","sao-tome-and-principe","75","2023",77,"Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","74","2023",78,"Central America and the Caribbean"
"Morocco","morocco","70","2023",79,"Africa"
"Belize","belize","67","2023",80,"Central America and the Caribbean"
"Korea, North","korea-north","67","2023",81,"East and Southeast Asia"
"Tonga","tonga","67","2023",82,"Australia and Oceania"
"Brazil","brazil","67","2023",83,"South America"
"Iraq","iraq","66","2023",84,"Middle East"
"Mauritius","mauritius","66","2023",85,"Africa"
"Algeria","algeria","62","2023",86,"Africa"
"Nicaragua","nicaragua","60","2023",87,"Central America and the Caribbean"
"Colombia","colombia","59","2023",88,"South America"
"Libya","libya","59","2023",89,"Africa"
"Paraguay","paraguay","58","2023",90,"South America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","56","2023",91,"Central America and the Caribbean"
"Ecuador","ecuador","55","2023",92,"South America"
"Trinidad and Tobago","trinidad-and-tobago","54","2023",93,"Central America and the Caribbean"
"Peru","peru","51","2023",94,"South America"
"Grenada","grenada","48","2023",95,"Central America and the Caribbean"
"Vietnam","vietnam","48","2023",96,"East and Southeast Asia"
"Bhutan","bhutan","47","2023",97,"South Asia"
"Honduras","honduras","47","2023",98,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","44","2023",99,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","42","2023",100,"Central Asia"
"Mexico","mexico","42","2023",101,"North America"
"Seychelles","seychelles","42","2023",102,"Africa"
"Mongolia","mongolia","41","2023",103,"East and Southeast Asia"
"Cabo Verde","cabo-verde","40","2023",104,"Africa"
"El Salvador","el-salvador","39","2023",105,"Central America and the Caribbean"
"Panama","panama","37","2023",106,"Central America and the Caribbean"
"Dominica","dominica","36","2023",107,"Central America and the Caribbean"
"Tunisia","tunisia","36","2023",108,"Africa"
"Brunei","brunei","36","2023",109,"East and Southeast Asia"
"Antigua and Barbuda","antigua-and-barbuda","35","2023",110,"Central America and the Caribbean"
"Cuba","cuba","35","2023",111,"Central America and the Caribbean"
"Barbados","barbados","35","2023",112,"Central America and the Caribbean"
"Thailand","thailand","34","2023",113,"East and Southeast Asia"
"Argentina","argentina","33","2023",114,"South America"
"Maldives","maldives","32","2023",115,"South Asia"
"Jordan","jordan","31","2023",116,"Middle East"
"Fiji","fiji","30","2023",117,"Australia and Oceania"
"Uzbekistan","uzbekistan","26","2023",118,"Central Asia"
"Malaysia","malaysia","26","2023",119,"East and Southeast Asia"
"Costa Rica","costa-rica","24","2023",120,"Central America and the Caribbean"
"Georgia","georgia","20","2023",121,"Central Asia"
"Syria","syria","20","2023",122,"Middle East"
"Latvia","latvia","19","2023",123,"Europe"
"Moldova","moldova","19","2023",124,"Europe"
"Armenia","armenia","19","2023",125,"Central Asia"
"Sri Lanka","sri-lanka","18","2023",126,"South Asia"
"Azerbaijan","azerbaijan","18","2023",127,"Central Asia"
"Egypt","egypt","17","2023",128,"Africa"
"Bahrain","bahrain","17","2023",129,"Middle East"
"United States","united-states","17","2023",130,"North America"
"China","china","16","2023",131,"East and Southeast Asia"
"West Bank","west-bank","16","2023",132,"Middle East"
"Gaza Strip","gaza-strip","16","2023",133,"Middle East"
"Iran","iran","16","2023",134,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","15","2023",135,"Middle East"
"Uruguay","uruguay","15","2023",136,"South America"
"Portugal","portugal","15","2023",137,"Europe"
"Ukraine","ukraine","15","2023",138,"Europe"
"Lebanon","lebanon","15","2023",139,"Middle East"
"Cyprus","cyprus","14","2023",140,"Europe"
"Tajikistan","tajikistan","14","2023",141,"Central Asia"
"Oman","oman","13","2023",142,"Middle East"
"Canada","canada","12","2023",143,"North America"
"Romania","romania","12","2023",144,"Europe"
"Luxembourg","luxembourg","12","2023",145,"Europe"
"Hungary","hungary","12","2023",146,"Europe"
"Andorra","andorra","11","2023",147,"Europe"
"Serbia","serbia","11","2023",148,"Europe"
"Puerto Rico","puerto-rico","11","2023",149,"Central America and the Caribbean"
"Chile","chile","10","2023",150,"South America"
"Kazakhstan","kazakhstan","10","2023",151,"Central Asia"
"Russia","russia","9","2023",152,"Central Asia"
"Lithuania","lithuania","8","2023",153,"Europe"
"Kuwait","kuwait","8","2023",154,"Middle East"
"United Kingdom","united-kingdom","8","2023",155,"Europe"
"Finland","finland","8","2023",156,"Europe"
"Malta","malta","8","2023",157,"Europe"
"San Marino","san-marino","8","2023",158,"Europe"
"France","france","7","2023",159,"Europe"
"Albania","albania","7","2023",160,"Europe"
"New Zealand","new-zealand","7","2023",161,"Australia and Oceania"
"Saudi Arabia","saudi-arabia","7","2023",162,"Middle East"
"Italy","italy","6","2023",163,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","6","2023",164,"Europe"
"Montenegro","montenegro","6","2023",165,"Europe"
"Singapore","singapore","6","2023",166,"East and Southeast Asia"
"Austria","austria","6","2023",167,"Europe"
"Bulgaria","bulgaria","6","2023",168,"Europe"
"Turkmenistan","turkmenistan","5","2023",169,"Central Asia"
"Estonia","estonia","5","2023",170,"Europe"
"Greece","greece","5","2023",171,"Europe"
"Switzerland","switzerland","5","2023",172,"Europe"
"Monaco","monaco","5","2023",173,"Europe"
"Ireland","ireland","4","2023",174,"Europe"
"Qatar","qatar","4","2023",175,"Middle East"
"Netherlands","netherlands","4","2023",176,"Europe"
"Belgium","belgium","4","2023",177,"Europe"
"Denmark","denmark","4","2023",178,"Europe"
"Korea, South","korea-south","4","2023",179,"East and Southeast Asia"
"Sweden","sweden","4","2023",180,"Europe"
"Slovakia","slovakia","4","2023",181,"Europe"
"Germany","germany","4","2023",182,"Europe"
"Japan","japan","3","2023",183,"East and Southeast Asia"
"Spain","spain","3","2023",184,"Europe"
"North Macedonia","north-macedonia","3","2023",185,"Europe"
"Iceland","iceland","3","2023",186,"Europe"
"Czechia","czechia","3","2023",187,"Europe"
"Croatia","croatia","3","2023",188,"Europe"
"United Arab Emirates","united-arab-emirates","3","2023",189,"Middle East"
"Slovenia","slovenia","3","2023",190,"Europe"
"Australia","australia","2","2023",191,"Australia and Oceania"
"Israel","israel","2","2023",192,"Middle East"
"Poland","poland","2","2023",193,"Europe"
"Belarus","belarus","1","2023",194,"Europe"
"Norway","norway","1","2023",195,"Europe"
"Cook Islands","cook-islands","0","2023",196,"Australia and Oceania"
